,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-12-02,3.2587167055027924,3.3183414125413067,3.2564233970700966,3.2977020740509038,52931600,0.0,0.0
2010-12-03,3.281648206170764,3.3917243480682373,3.274768283275782,3.3917243480682373,60604400,0.0,0.0
2010-12-06,3.4031908629196157,3.410070567507744,3.313753828466482,3.3275134563446045,43842400,0.0,0.0
2010-12-07,3.405483698256057,3.5155598312032272,3.3986037759204826,3.435295820236206,102681200,0.0,0.0
2010-12-08,3.4307101275357565,3.501801142001494,3.405484396571465,3.465108871459961,61325200,0.0,0.0
2010-12-09,3.3825515797589745,3.430709949981584,3.334393209536365,3.4077773094177246,94240800,0.0,0.0
2010-12-10,3.4077776326670963,3.4605226234864226,3.398604619311808,3.428416967391968,45190000,0.0,0.0
2010-12-13,3.442176184487448,3.449055889004422,3.3320998187065483,3.3412728309631348,60910800,0.0,0.0
2010-12-14,3.4054842180526825,3.467401997610837,3.3412729119974287,3.34585952758789,75516000,0.0,0.0
2010-12-15,3.3527405081876176,3.3940191894032776,3.26789005579028,3.2724766731262207,62417600,0.0,0.0
2010-12-16,3.306874285514405,3.3252203111140566,3.267888926439676,3.277061939239502,63187200,0.0,0.0
2010-12-17,3.279355767050592,3.313754515828326,3.240370401794807,3.2954084873199463,59315600,0.0,0.0
2010-12-20,3.3068746072612605,3.3229273265473576,3.2793555661842806,3.281648874282837,34408800,0.0,0.0
2010-12-21,3.3137546111940157,3.41007137298584,3.311461302888992,3.41007137298584,46695200,0.0,0.0
2010-12-22,3.4031915147147966,3.451349893458946,3.371085855984728,3.446763277053833,47798800,0.0,0.0
2010-12-23,3.4467624118263367,3.4467624118263367,3.4077770569768493,3.421536684036255,27378400,0.0,0.0
2010-12-27,3.41236395599276,3.4651087235858995,3.3504459571292955,3.43988299369812,25550000,0.0,0.0
2010-12-28,3.439882530173356,3.4628151678552483,3.405483792352359,3.4261229038238525,19426000,0.0,0.0
2010-12-29,3.4238298150171365,3.4513488490143023,3.394017473511413,3.4261229038238525,17766000,0.0,0.0
2010-12-30,3.421537165560739,3.4582292179471463,3.410070844514516,3.4375898838043213,17448800,0.0,0.0
2010-12-31,3.43988321824218,3.536199965849112,3.435296602307619,3.531613349914551,39125200,0.0,0.0
2011-01-03,3.5591333753589134,3.662329850411819,3.554546758435617,3.627930879592896,81744800,0.0,0.0
2011-01-04,3.6348084876942144,3.650861199287871,3.536198473729085,3.616462469100952,65138400,0.0,0.0
2011-01-05,3.682967408510153,3.89853350104073,3.646275363492652,3.893946886062622,142821600,0.0,0.0
2011-01-06,3.994850573819325,4.435155589486571,3.983384472786773,4.432862281799316,349331200,0.0,0.0
2011-01-07,4.382411331392031,4.570458209443364,4.283801276461755,4.556698799133301,257998400,0.0,0.0
2011-01-10,4.47414173562985,4.740159350685933,4.439742989052628,4.73098611831665,175034800,0.0,0.0
2011-01-11,4.795197742791524,4.841063032796418,4.556699372016013,4.657602310180664,271108800,0.0,0.0
2011-01-12,4.659895439986086,5.359338680056846,4.643842720320206,5.354752063751221,343189600,0.0,0.0
2011-01-13,5.29742079184449,5.467121662352965,5.132306100341465,5.363924980163574,269519200,0.0,0.0
2011-01-14,5.272192290925847,5.499224444613148,5.240086866385299,5.409787654876709,159535200,0.0,0.0
2011-01-18,5.336408068248241,5.373100137859423,5.152947282788367,5.283663272857666,181334800,0.0,0.0
2011-01-19,5.285954127909783,5.412083451808864,5.127719802103811,5.139185905456543,119789600,0.0,0.0
2011-01-20,5.088734517801892,5.173584733706215,4.997004377336213,5.143772602081299,111140800,0.0,0.0
2011-01-21,5.198811123364393,5.272195241905487,5.086441637172862,5.095614433288574,73924400,0.0,0.0
2011-01-24,5.329525312318014,5.7446044028527,5.269900621496963,5.671220302581787,205690000,0.0,0.0
2011-01-25,5.645993953350572,5.705618197916741,5.460239985035551,5.496932029724121,108685600,0.0,0.0
2011-01-26,5.554264291904729,5.733138366401814,5.515278933517047,5.627648830413818,107466000,0.0,0.0
2011-01-27,5.707911886904866,5.721671732635551,5.503812320007121,5.611595153808594,65739600,0.0,0.0
2011-01-28,5.625355090879523,5.719378517880696,5.320352170689538,5.448774337768555,109479600,0.0,0.0
2011-01-31,5.457945801940343,5.561142434448247,5.368509012035895,5.485465049743652,75016000,0.0,0.0
2011-02-01,5.533624444282864,5.65287381619324,5.496932397141778,5.611595153808594,65410400,0.0,0.0
2011-02-02,5.579491035823339,6.001450114716501,5.579491035823339,5.866147994995117,160661600,0.0,0.0
2011-02-03,5.875319501991346,5.875319501991346,5.629940849591728,5.756070137023926,103077600,0.0,0.0
2011-02-04,5.836335000985222,5.9326517425257705,5.813402360160569,5.886786460876465,87290000,0.0,0.0
2011-02-07,5.806521695305309,5.83174764073191,5.620768159410063,5.641407489776611,93423600,0.0,0.0
2011-02-08,5.648286975369475,5.684979458448846,5.448774031683401,5.473999977111816,107658400,0.0,0.0
2011-02-09,5.494640154520917,5.549678673304112,5.242382390882922,5.340992450714111,127752000,0.0,0.0
2011-02-10,5.22174255448398,5.32264547529255,5.18275719590675,5.233208656311035,104235200,0.0,0.0
2011-02-11,5.214862332750641,5.551970693592314,5.130012134313328,5.382269859313965,135927600,0.0,0.0
2011-02-14,5.446481333899403,5.618475481285699,5.2790738020869705,5.299713134765625,128782800,0.0,0.0
2011-02-15,5.308886778744483,5.327232806574379,5.148359144583844,5.171291351318359,88698000,0.0,0.0
2011-02-16,5.240088660699895,5.437308327071402,5.221742635051295,5.361630916595459,131836400,0.0,0.0
2011-02-17,5.210275365280397,5.964756493800782,5.185049856926967,5.8890790939331055,347009600,0.0,0.0
2011-02-18,5.8569736974348166,5.950997120933798,5.78588247486441,5.877612590789795,139441200,0.0,0.0
2011-02-22,5.684981971394092,5.701034693797564,5.304301063779183,5.3226470947265625,139664800,0.0,0.0
2011-02-23,5.322645584890369,5.373097483737249,4.994710429404433,5.070387840270996,149160400,0.0,0.0
2011-02-24,5.095614287117635,5.283661632239741,5.058922228899624,5.1942243576049805,124612000,0.0,0.0
2011-02-25,5.334111677670694,5.389149750291609,5.260727580842808,5.302006244659424,77565200,0.0,0.0
2011-02-28,5.389150489976487,5.39144379799259,5.077267598246936,5.196516990661621,90369600,0.0,0.0
2011-03-01,5.205691701179677,5.272195902919218,4.96489953994751,4.96489953994751,98844800,0.0,0.0
2011-03-02,4.958018276144937,5.052041710824783,4.6438420996608505,4.758504867553711,171814000,0.0,0.0
2011-03-03,4.868580988547064,4.896100245122604,4.641548762062893,4.78602409362793,159370400,0.0,0.0
2011-03-04,4.7906096235793125,4.838768206718323,4.708052739832514,4.760797500610352,95976000,0.0,0.0
2011-03-07,4.795197830072324,4.811250550645077,4.5750454838108565,4.694294452667236,101914000,0.0,0.0
2011-03-08,4.744745444834493,4.769970956267019,4.384704424625401,4.483314037322998,194718400,0.0,0.0
2011-03-09,4.469555809310272,4.513127794982006,4.350306394526504,4.389291763305664,131897600,0.0,0.0
2011-03-10,4.288388836306156,4.320494279897789,4.104928096373159,4.1095147132873535,172273600,0.0,0.0
2011-03-11,4.143913189026579,4.253989363204355,4.049889735574249,4.139326572418213,148683200,0.0,0.0
2011-03-14,4.171432773366885,4.276922339081591,4.104928139621979,4.1737260818481445,100336000,0.0,0.0
2011-03-15,3.969625059486495,4.118686576180999,3.900827570982497,4.049889087677002,125628000,0.0,0.0
2011-03-16,4.013196352231244,4.2081231196775,3.967331076101411,4.020076274871826,147652000,0.0,0.0
2011-03-17,4.127860061701552,4.134739985936419,3.944399789476333,4.095754623413086,123851600,0.0,0.0
2011-03-18,4.159964627666078,4.173724473250441,4.036129079232702,4.04071569442749,88696000,0.0,0.0
2011-03-21,4.127861627013469,4.169140313268237,4.03154483822033,4.072823524475098,75183200,0.0,0.0
2011-03-22,4.061355175425695,4.100340535412784,3.98338489285528,4.001730918884277,71833200,0.0,0.0
