,trend(t-5),trend(t-4),trend(t-3),trend(t-2),trend(t-1),trend(t)
2010-02-12,0.4035261338659876,0.4016793581756373,0.40248735349309667,0.40222766932443804,0.4044281605470758,0.40648761564883434
2010-02-16,0.4016793581756373,0.40248735349309667,0.40222766932443804,0.4044281605470758,0.40648761564883434,0.4097064218945219
2010-02-17,0.40248735349309667,0.40222766932443804,0.4044281605470758,0.40648761564883434,0.4097064218945219,0.4119703192864534
2010-02-18,0.40222766932443804,0.4044281605470758,0.40648761564883434,0.4097064218945219,0.4119703192864534,0.4146664943917171
2010-02-19,0.4044281605470758,0.40648761564883434,0.4097064218945219,0.4119703192864534,0.4146664943917171,0.41460852137223886
2010-02-22,0.40648761564883434,0.4097064218945219,0.4119703192864534,0.4146664943917171,0.41460852137223886,0.4147244965433663
2010-02-23,0.4097064218945219,0.4119703192864534,0.4146664943917171,0.41460852137223886,0.4147244965433663,0.413651835456077
2010-02-24,0.4119703192864534,0.4146664943917171,0.41460852137223886,0.4147244965433663,0.413651835456077,0.413361919377386
2010-02-25,0.4146664943917171,0.41460852137223886,0.4147244965433663,0.413651835456077,0.413361919377386,0.41420264468850576
2010-02-26,0.41460852137223886,0.4147244965433663,0.413651835456077,0.413361919377386,0.41420264468850576,0.4145795275794569
2010-03-01,0.4147244965433663,0.413651835456077,0.413361919377386,0.41420264468850576,0.4145795275794569,0.414086676800421
2010-03-02,0.413651835456077,0.413361919377386,0.41420264468850576,0.4145795275794569,0.414086676800421,0.41417365089572394
2010-03-03,0.413361919377386,0.41420264468850576,0.4145795275794569,0.414086676800421,0.41417365089572394,0.41394170783651163
2010-03-04,0.41420264468850576,0.4145795275794569,0.414086676800421,0.41417365089572394,0.41394170783651163,0.4128110591636585
2010-03-05,0.4145795275794569,0.414086676800421,0.41417365089572394,0.41394170783651163,0.4128110591636585,0.4137967388726024
2010-03-08,0.414086676800421,0.41417365089572394,0.41394170783651163,0.4128110591636585,0.4137967388726024,0.4152752766436246
2010-03-09,0.41417365089572394,0.41394170783651163,0.4128110591636585,0.4137967388726024,0.4152752766436246,0.4168697895857745
2010-03-10,0.41394170783651163,0.4128110591636585,0.4137967388726024,0.4152752766436246,0.4168697895857745,0.4188412072680032
2010-03-11,0.4128110591636585,0.4137967388726024,0.4152752766436246,0.4168697895857745,0.4188412072680032,0.42075463008162567
2010-03-12,0.4137967388726024,0.4152752766436246,0.4168697895857745,0.4188412072680032,0.42075463008162567,0.42240716702455244
2010-03-15,0.4152752766436246,0.4168697895857745,0.4188412072680032,0.42075463008162567,0.42240716702455244,0.42432058983817506
2010-03-16,0.4168697895857745,0.4188412072680032,0.42075463008162567,0.42240716702455244,0.42432058983817506,0.42556720639911305
2010-03-17,0.4188412072680032,0.42075463008162567,0.42240716702455244,0.42432058983817506,0.42556720639911305,0.426494920371621
2010-03-18,0.42075463008162567,0.42240716702455244,0.42432058983817506,0.42556720639911305,0.426494920371621,0.42739363326830454
2010-03-19,0.42240716702455244,0.42432058983817506,0.42556720639911305,0.426494920371621,0.42739363326830454,0.4288721783223693
2010-03-22,0.42432058983817506,0.42556720639911305,0.426494920371621,0.42739363326830454,0.4288721783223693,0.4289301950401036
2010-03-23,0.42556720639911305,0.426494920371621,0.42739363326830454,0.4288721783223693,0.4289301950401036,0.43008983022269603
2010-03-24,0.426494920371621,0.42739363326830454,0.4288721783223693,0.4289301950401036,0.43008983022269603,0.4302927722060839
2010-03-25,0.42739363326830454,0.4288721783223693,0.4289301950401036,0.43008983022269603,0.4302927722060839,0.4302637929793874
2010-03-26,0.4288721783223693,0.4289301950401036,0.43008983022269603,0.4302927722060839,0.4302637929793874,0.4299448612587867
2010-03-29,0.4289301950401036,0.43008983022269603,0.4302927722060839,0.4302637929793874,0.4299448612587867,0.42890115754906605
2010-03-30,0.43008983022269603,0.4302927722060839,0.4302637929793874,0.4299448612587867,0.42890115754906605,0.426436918219972
2010-03-31,0.4302927722060839,0.4302637929793874,0.4299448612587867,0.42890115754906605,0.426436918219972,0.4253062622640761
2010-04-01,0.4302637929793874,0.4299448612587867,0.42890115754906605,0.426436918219972,0.4253062622640761,0.4245235099724347
2010-04-05,0.4299448612587867,0.42890115754906605,0.426436918219972,0.4253062622640761,0.4245235099724347,0.42330590905340665
2010-04-06,0.42890115754906605,0.426436918219972,0.4253062622640761,0.4245235099724347,0.42330590905340665,0.4251323650547687
2010-04-07,0.426436918219972,0.4253062622640761,0.4245235099724347,0.42330590905340665,0.4251323650547687,0.4285533194321953
2010-04-08,0.4253062622640761,0.4245235099724347,0.42330590905340665,0.4251323650547687,0.4285533194321953,0.4315973690695429
2010-04-09,0.4245235099724347,0.42330590905340665,0.4251323650547687,0.4285533194321953,0.4315973690695429,0.43487339089827365
2010-04-12,0.42330590905340665,0.4251323650547687,0.4285533194321953,0.4315973690695429,0.43487339089827365,0.4391351288511611
2010-04-13,0.4251323650547687,0.4285533194321953,0.4315973690695429,0.43487339089827365,0.4391351288511611,0.44188926240981796
2010-04-14,0.4285533194321953,0.4315973690695429,0.43487339089827365,0.4391351288511611,0.44188926240981796,0.44284598474119324
2010-04-15,0.4315973690695429,0.43487339089827365,0.4391351288511611,0.44188926240981796,0.44284598474119324,0.44493338487759226
2010-04-16,0.43487339089827365,0.4391351288511611,0.44188926240981796,0.44284598474119324,0.44493338487759226,0.44757156511424956
2010-04-19,0.4391351288511611,0.44188926240981796,0.44284598474119324,0.44493338487759226,0.44757156511424956,0.4490500883191866
2010-04-20,0.44188926240981796,0.44284598474119324,0.44493338487759226,0.44757156511424956,0.4490500883191866,0.45055767814733194
2010-04-21,0.44284598474119324,0.44493338487759226,0.44757156511424956,0.4490500883191866,0.45055767814733194,0.4513984253075797
2010-04-22,0.44493338487759226,0.44757156511424956,0.4490500883191866,0.45055767814733194,0.4513984253075797,0.4516013745740101
2010-04-23,0.44757156511424956,0.4490500883191866,0.45055767814733194,0.4513984253075797,0.4516013745740101,0.45012282223690253
2010-04-26,0.4490500883191866,0.45055767814733194,0.4513984253075797,0.4516013745740101,0.45012282223690253,0.4489051994687462
2010-04-27,0.45055767814733194,0.4513984253075797,0.4516013745740101,0.45012282223690253,0.4489051994687462,0.44777452894676517
2010-04-28,0.4513984253075797,0.4516013745740101,0.45012282223690253,0.4489051994687462,0.44777452894676517,0.44655691346165177
2010-04-29,0.4516013745740101,0.45012282223690253,0.4489051994687462,0.44777452894676517,0.44655691346165177,0.4458321196234037
