,trend
2011-01-03,1.7766668081283594
2011-01-04,1.7950668096542246
2011-01-05,1.8165335893630983
2011-01-06,1.8409335851669248
2011-01-07,1.8448001861572254
2011-01-10,1.8465333938598785
2011-01-11,1.8243999958038444
2011-01-12,1.7912000179290786
2011-01-13,1.7537332057952906
2011-01-14,1.714666604995744
2011-01-18,1.6568000078201446
2011-01-19,1.6144000053406016
2011-01-20,1.597599983215331
2011-01-21,1.5848000049591078
2011-01-24,1.5944000005722274
2011-01-25,1.6250665903091457
2011-01-26,1.6379999876022289
2011-01-27,1.6328000068664323
2011-01-28,1.6225333929062093
2011-01-31,1.6117333889007632
2011-02-01,1.5945333957672183
2011-02-02,1.5871999979019178
2011-02-03,1.5734665870666682
2011-02-04,1.5811999797821084
2011-02-07,1.5714665889739838
2011-02-08,1.5659999847412136
2011-02-09,1.563199973106397
2011-02-10,1.5633333683014143
2011-02-11,1.541333389282224
2011-02-14,1.5616001844406369
2011-02-15,1.5666667938232421
2011-02-16,1.5657334089279327
2011-02-17,1.5496000051498389
2011-02-18,1.5361331939697342
2011-02-22,1.5067997932434183
2011-02-23,1.506933188438403
2011-02-24,1.516399979591357
2011-02-25,1.543999981880183
2011-02-28,1.5731999874115017
2011-03-01,1.5975999832153347
2011-03-02,1.6154665946960323
2011-03-03,1.6294666051864524
2011-03-04,1.6390666246414287
2011-03-07,1.6484000205993754
2011-03-08,1.6437334299087374
2011-03-09,1.632000207900991
2011-03-10,1.6094667911529668
2011-03-11,1.5866667747497636
2011-03-14,1.5613333702087504
2011-03-15,1.5453333616256486
2011-03-16,1.5305333614349492
2011-03-17,1.5235999822616755
2011-03-18,1.5134665966033785
2011-03-21,1.505333399772639
2011-03-22,1.4989334106445262
2011-03-23,1.4961334228515726
2011-03-24,1.5030668020248288
2011-03-25,1.5261335849762014
2011-03-28,1.5461335897445678
2011-03-29,1.618400192260765
2011-03-30,1.6705333948135275
2011-03-31,1.704933404922498
2011-04-01,1.7420000076294047
2011-04-04,1.7790666103363164
2011-04-05,1.7722666025161895
2011-04-06,1.7700000047683666
2011-04-07,1.7625334024429398
2011-04-08,1.7351999998092602
2011-04-11,1.7143999814987159
2011-04-12,1.6863999843597413
2011-04-13,1.6742665767669855
2011-04-14,1.6710665702820002
2011-04-15,1.677866578102132
2011-04-18,1.6888000011444118
2011-04-19,1.7101334095001322
2011-04-20,1.7209334135055796
2011-04-21,1.7462666273117167
2011-04-25,1.7718666315078964
2011-04-26,1.7973332166672107
2011-04-27,1.8087998151779427
2011-04-28,1.8229332208633524
2011-04-29,1.822133207321172
2011-05-02,1.8169332027435532
2011-05-03,1.800666594505338
2011-05-04,1.794266581535352
2011-05-05,1.800399971008301
