,trend(t-5),trend(t-4),trend(t-3),trend(t-2),trend(t-1),trend(t)
2014-09-22,0.1623437189588998,0.1617939259604139,0.16180687451392586,0.1618676316498441,0.16145627950943195,0.16187559531421072
2014-09-23,0.1617939259604139,0.16180687451392586,0.1618676316498441,0.16145627950943195,0.16187559531421072,0.16156982251798574
2014-09-24,0.16180687451392586,0.1618676316498441,0.16145627950943195,0.16187559531421072,0.16156982251798574,0.16076206150622305
2014-09-25,0.1618676316498441,0.16145627950943195,0.16187559531421072,0.16156982251798574,0.16076206150622305,0.1604951305710758
2014-09-26,0.16145627950943195,0.16187559531421072,0.16156982251798574,0.16076206150622305,0.1604951305710758,0.1603766064728348
2014-09-29,0.16187559531421072,0.16156982251798574,0.16076206150622305,0.1604951305710758,0.1603766064728348,0.1593059020572954
2014-09-30,0.16156982251798574,0.16076206150622305,0.1604951305710758,0.1603766064728348,0.1593059020572954,0.15895530705280136
2014-10-01,0.16076206150622305,0.1604951305710758,0.1603766064728348,0.1593059020572954,0.15895530705280136,0.15890849392844095
2014-10-02,0.1604951305710758,0.1603766064728348,0.1593059020572954,0.15895530705280136,0.15890849392844095,0.15894634413093092
2014-10-03,0.1603766064728348,0.1593059020572954,0.15895530705280136,0.15890849392844095,0.15894634413093092,0.15840252578044917
2014-10-06,0.1593059020572954,0.15895530705280136,0.15890849392844095,0.15894634413093092,0.15840252578044917,0.15892443265554845
2014-10-07,0.15895530705280136,0.15890849392844095,0.15894634413093092,0.15840252578044917,0.15892443265554845,0.15862164813319007
2014-10-08,0.15890849392844095,0.15894634413093092,0.15840252578044917,0.15892443265554845,0.15862164813319007,0.15749118393950723
2014-10-09,0.15894634413093092,0.15840252578044917,0.15892443265554845,0.15862164813319007,0.15749118393950723,0.15592247504034248
2014-10-10,0.15840252578044917,0.15892443265554845,0.15862164813319007,0.15749118393950723,0.15592247504034248,0.15505893798234874
2014-10-13,0.15892443265554845,0.15862164813319007,0.15749118393950723,0.15592247504034248,0.15505893798234874,0.1533926210022797
2014-10-14,0.15862164813319007,0.15749118393950723,0.15592247504034248,0.15505893798234874,0.1533926210022797,0.1521466171847642
2014-10-15,0.15749118393950723,0.15592247504034248,0.15505893798234874,0.1533926210022797,0.1521466171847642,0.15137471355967094
2014-10-16,0.15592247504034248,0.15505893798234874,0.1533926210022797,0.1521466171847642,0.15137471355967094,0.15135080926846775
2014-10-17,0.15505893798234874,0.1533926210022797,0.1521466171847642,0.15137471355967094,0.15135080926846775,0.15205000646163475
2014-10-20,0.1533926210022797,0.1521466171847642,0.15137471355967094,0.15135080926846775,0.15205000646163475,0.15274721083898116
2014-10-21,0.1521466171847642,0.15137471355967094,0.15135080926846775,0.15205000646163475,0.15274721083898116,0.15377508966153058
2014-10-22,0.15137471355967094,0.15135080926846775,0.15205000646163475,0.15274721083898116,0.15377508966153058,0.15212371215106504
2014-10-23,0.15135080926846775,0.15205000646163475,0.15274721083898116,0.15377508966153058,0.15212371215106504,0.15050619921144817
2014-10-24,0.15205000646163475,0.15274721083898116,0.15377508966153058,0.15212371215106504,0.15050619921144817,0.14854008408315808
2014-10-27,0.15274721083898116,0.15377508966153058,0.15212371215106504,0.15050619921144817,0.14854008408315808,0.1466626141139018
2014-10-28,0.15377508966153058,0.15212371215106504,0.15050619921144817,0.14854008408315808,0.1466626141139018,0.14525724962151787
2014-10-29,0.15212371215106504,0.15050619921144817,0.14854008408315808,0.1466626141139018,0.14525724962151787,0.14708989928223437
2014-10-30,0.15050619921144817,0.14854008408315808,0.1466626141139018,0.14525724962151787,0.14708989928223437,0.14865860818139898
2014-10-31,0.14854008408315808,0.1466626141139018,0.14525724962151787,0.14708989928223437,0.14865860818139898,0.14937772403412783
2014-11-03,0.1466626141139018,0.14525724962151787,0.14708989928223437,0.14865860818139898,0.14937772403412783,0.14961676504643054
2014-11-04,0.14525724962151787,0.14708989928223437,0.14865860818139898,0.14937772403412783,0.14961676504643054,0.1493747357602614
2014-11-05,0.14708989928223437,0.14865860818139898,0.14937772403412783,0.14961676504643054,0.1493747357602614,0.14881697339822167
2014-11-06,0.14865860818139898,0.14937772403412783,0.14961676504643054,0.1493747357602614,0.14881697339822167,0.14875621626230331
2014-11-07,0.14937772403412783,0.14961676504643054,0.1493747357602614,0.14881697339822167,0.14875621626230331,0.14967254109266168
2014-11-10,0.14961676504643054,0.1493747357602614,0.14881697339822167,0.14875621626230331,0.14967254109266168,0.1511655514865754
2014-11-11,0.1493747357602614,0.14881697339822167,0.14875621626230331,0.14967254109266168,0.1511655514865754,0.15314162689451088
2014-11-12,0.14881697339822167,0.14875621626230331,0.14967254109266168,0.1511655514865754,0.15314162689451088,0.15592645877225483
2014-11-13,0.14875621626230331,0.14967254109266168,0.1511655514865754,0.15314162689451088,0.15592645877225483,0.15771329266638562
2014-11-14,0.14967254109266168,0.1511655514865754,0.15314162689451088,0.15592645877225483,0.15771329266638562,0.1590001311607996
2014-11-17,0.1511655514865754,0.15314162689451088,0.15592645877225483,0.15771329266638562,0.1590001311607996,0.16049712718635473
2014-11-18,0.15314162689451088,0.15592645877225483,0.15771329266638562,0.1590001311607996,0.16049712718635473,0.16189751058905139
2014-11-19,0.15592645877225483,0.15771329266638562,0.1590001311607996,0.16049712718635473,0.16189751058905139,0.16237658807170255
2014-11-20,0.15771329266638562,0.1590001311607996,0.16049712718635473,0.16189751058905139,0.16237658807170255,0.1636305574533136
2014-11-21,0.1590001311607996,0.16049712718635473,0.16189751058905139,0.16237658807170255,0.1636305574533136,0.16463752025852638
2014-11-24,0.16049712718635473,0.16189751058905139,0.16237658807170255,0.1636305574533136,0.16463752025852638,0.16533771101001024
2014-11-25,0.16189751058905139,0.16237658807170255,0.1636305574533136,0.16463752025852638,0.16533771101001024,0.16614447276426875
2014-11-26,0.16237658807170255,0.1636305574533136,0.16463752025852638,0.16533771101001024,0.16614447276426875,0.1654841193319085
2014-11-28,0.1636305574533136,0.16463752025852638,0.16533771101001024,0.16614447276426875,0.1654841193319085,0.16455484784776747
2014-12-01,0.16463752025852638,0.16533771101001024,0.16614447276426875,0.1654841193319085,0.16455484784776747,0.16270825227576413
2014-12-02,0.16533771101001024,0.16614447276426875,0.1654841193319085,0.16455484784776747,0.16270825227576413,0.16105090201702374
2014-12-03,0.16614447276426875,0.1654841193319085,0.16455484784776747,0.16270825227576413,0.16105090201702374,0.15846029464250078
2014-12-04,0.1654841193319085,0.16455484784776747,0.16270825227576413,0.16105090201702374,0.15846029464250078,0.15653202971670085
2014-12-05,0.16455484784776747,0.16270825227576413,0.16105090201702374,0.15846029464250078,0.15653202971670085,0.15515654606325308
2014-12-08,0.16270825227576413,0.16105090201702374,0.15846029464250078,0.15653202971670085,0.15515654606325308,0.15409480456958408
2014-12-09,0.16105090201702374,0.15846029464250078,0.15653202971670085,0.15515654606325308,0.15409480456958408,0.15314162689451072
